"address","city","zip_code","sold_date","price","rooms","size","build_year","latitude","longitude"
"Skovvangsvej 58, 3. tv","Aarhus N",8200,"2019-09-03",1810000,2,58,1950,56.17608,10.205048
"Rudolph Wulffs Gade 1, st. tv","Aarhus C",8000,"2019-09-03",2957500,4,103,1953,56.140545,10.185687
"Silkeborgvej 182, 2. th","Aarhus C",8000,"2019-09-03",1550000,2,58,1938,56.15637,10.176733
"Absalonsgade 17C, 2","Aarhus C",8000,"2019-09-03",3325000,5,100,1900,56.14726,10.193584
"Mariane Thomsens Gade 39, 3. 2","Aarhus C",8000,"2019-09-03",2635000,2,78,2013,56.165134,10.230616
"Hedemannsgade 20, 4. th","Aarhus C",8000,"2019-09-03",1550000,1,37,1913,56.147205,10.19113
"Rudolph Wulffs Gade 15, 3. tv","Aarhus C",8000,"2019-09-02",2483000,3,80,1953,56.139847,10.184326
"Ewaldsgade 14, st. tv","Aarhus C",8000,"2019-09-02",2800000,3,94,1913,56.148796,10.195736
"Jerichausgade 11, 2. tv","Aarhus C",8000,"2019-09-02",3100000,2,77,1926,56.154575,10.195868
"Niels Juels Gade 7, 4","Aarhus N",8200,"2019-09-02",2095000,2,48,1902,56.169518,10.218475
"Sjællandsgade 95A, 1","Aarhus C",8000,"2019-09-02",2450000,4,99,1888,56.163143,10.204757
"Skt. Pauls Gade 36, st. th","Aarhus C",8000,"2019-09-02",1300000,1,42,1887,56.146404,10.202384
"Samsøgade 30, 1","Aarhus C",8000,"2019-09-02",2045000,2,57,1896,56.163063,10.203125
"Jens Baggesens Vej 98, 5. th","Aarhus N",8200,"2019-09-02",2400000,3,86,1968,56.17065,10.196451
"Lundbyesgade 9, 1. tv","Aarhus C",8000,"2019-09-02",3200000,3,99,1925,56.15531,10.195898
"Irma Pedersens Gade 29, 5. mf","Aarhus C",8000,"2019-09-02",2640000,2,59,2019,56.16333,10.228014
"Esther Aggebos Gade 16, 1. 2","Aarhus C",8000,"2019-09-02",2475000,2,67,2017,56.16668,10.226298
"Strandparken 20, 2. tv","Aarhus C",8000,"2019-09-02",4782116,5,132,1938,56.144875,10.208259
"Åhusene 9, 6. 3","Aarhus C",8000,"2019-09-02",1300000,2,52,2014,56.15282,10.187249
"Schleppegrellsgade 28, 3. tv","Aarhus C",8000,"2019-09-01",2400000,2,67,1900,56.14793,10.192121
"Edouard Suensons Gade 6, 5. n","Aarhus N",8200,"2019-09-01",2750000,3,76,1966,56.17092,10.217527
"Ceres Allé 7, 12. 2","Aarhus C",8000,"2019-09-01",5450000,4,118,2016,56.15459,10.191217
"Hallssti 37, 5. tv","Aarhus C",8000,"2019-09-01",1560000,1,42,1931,56.14878,10.194971
"Ceresbyen 44, kl. 1","Aarhus C",8000,"2019-09-01",2100000,3,86,2017,56.156128,10.19216
"Langelandsgade 7, kl","Aarhus C",8000,"2019-09-01",1200000,1,37,2011,56.158733,10.198695
"Kongsvang Allé 20, 2. th","Aarhus C",8000,"2019-08-30",1845000,2,63,1939,56.139935,10.18591
"Skernvej 8, 2. th","Aarhus C",8000,"2019-08-29",1552500,2,67,1931,56.157757,10.189748
"Willemoesgade 6, st","Aarhus N",8200,"2019-08-29",3850000,3,104,1903,56.17009,10.213165
"Jordbrovej 27, st. 3","Aarhus N",8200,"2019-08-29",1340000,1,48,1963,56.174362,10.199836
"Fåborggade 15, 5. th","Aarhus C",8000,"2019-08-29",1600000,1,37,1911,56.143257,10.202725
"Falstersgade 53, 3","Aarhus C",8000,"2019-08-29",1920000,3,78,1896,56.164284,10.199051
"Ceres Allé 7, 12. 6","Aarhus C",8000,"2019-08-29",3915000,3,97,2016,56.15459,10.191217
"Sønderport 1, 4. tv","Aarhus C",8000,"2019-08-29",2998000,4,100,1938,56.140232,10.1832075
"Åhusene 11, st. 2","Aarhus C",8000,"2019-08-29",2750000,3,68,2014,56.152912,10.186635
"Kystvejen 51, 4","Aarhus C",8000,"2019-08-28",4700000,7,170,1912,56.161213,10.214857
